State,Datetime,AnomalyScore,AnomalyState,PID,Algorithm,DataDatetime,CPU(%),RAM(%),RDISK(Bytes),WDISK(Bytes),TOTALTIME(s)
Positivo,1714240431,-1.0054720843684,1,225145,svm,1714240431,99.52,5.71,880106,1917,10.459999999999127
Positivo,1714240433,-1.0054720843684,1,225145,svm,1714240433,131.3,3.28,880418,2229,12.459999999999127
Positivo,1714240435,-1.0054720843684,1,225145,svm,1714240435,161.07,5.4,880569,2380,14.459999999999127
Positivo,1714240437,-1.0054720843684,1,225145,svm,1714240437,184.2,5.15,880691,2502,16.459999999999127
Positivo,1714240439,-1.0054720843684,1,225145,svm,1714240439,194.4,3.43,880993,2804,19.459999999999127
Positivo,1714240441,-1.0054720843684,1,225145,svm,1714240441,210.48,5.13,881151,2962,21.459999999999127
Positivo,1714240443,-1.0054720843684,1,225145,svm,1714240443,225.49,4.53,881258,3069,23.459999999999127
Positivo,1714240445,-1.0054720843684,1,225145,svm,1714240445,237.35,2.79,881586,3397,25.459999999999127
Positivo,1714240447,-1.0054720843684,1,225145,svm,1714240447,245.45,4.78,881693,3504,27.459999999999127
Positivo,1714240449,-1.0054720843684,1,225145,svm,1714240449,254.38,4.34,881931,3742,29.459999999999127
Positivo,1714240451,-1.0054720843684,1,225145,svm,1714240451,261.57,3.43,882269,4080,31.459999999999127
Positivo,1714240453,-1.0054720843684,1,225145,svm,1714240453,267.96,4.71,882509,4320,33.45999999999913
Positivo,1714240455,-1.0054720843684,1,225145,svm,1714240455,274.48,3.92,882762,4573,35.45999999999913
Positivo,1714240457,-1.0054720843684,1,225145,svm,1714240457,279.82,4.44,883018,4829,37.45999999999913
Positivo,1714240459,-1.0054720843684,1,225145,svm,1714240459,285.35,4.67,883197,5008,39.45999999999913
Positivo,1714240461,-1.0054720843684,1,225145,svm,1714240461,290.09,4.17,883428,5239,41.45999999999913
Positivo,1714240463,-1.0054720843684,1,225145,svm,1714240463,294.13,4.93,883579,5390,43.45999999999913
Positivo,1714240466,-1.0054720843684,1,225145,svm,1714240466,297.91,3.87,883745,5556,45.45999999999913
Positivo,1714240468,-1.0054720843684,1,225145,svm,1714240468,301.16,4.34,883897,5708,47.45999999999913
Positivo,1714240470,-1.0054720843684,1,225145,svm,1714240470,304.71,4.39,884122,5933,49.45999999999913
Positivo,1714240472,-1.0054720843684,1,225145,svm,1714240472,307.44,4.93,884286,6097,51.45999999999913
Negativo,1714240425,0.19879986278594,0,225150,svm,1714240427,15.11,1.74,880738,357,6.419999999998254
Positivo,1714240427,-0.64026045795643,1,225150,svm,1714240429,11.64,1.74,880756,375,8.419999999998254
Positivo,1714240429,-1.0054720843503,1,225150,svm,1714240431,9.4,1.74,880773,392,10.419999999998254
Positivo,1714240431,-1.0054720843684,1,225150,svm,1714240433,9.1,1.8,880956,575,12.419999999998254
Positivo,1714240433,-1.0054720843684,1,225150,svm,1714240435,8.11,1.73,880981,600,14.419999999998254
Positivo,1714240435,-1.0054720843684,1,225150,svm,1714240437,7.13,1.72,880991,610,16.419999999998254
Positivo,1714240437,-1.0054720843684,1,225150,svm,1714240439,6.13,1.61,881036,655,19.419999999998254
Positivo,1714240439,-1.0054720843684,1,225150,svm,1714240441,5.56,1.61,881048,667,21.419999999998254
Positivo,1714240441,-1.0054720843684,1,225150,svm,1714240443,5.08,1.61,881048,667,23.419999999998254
Positivo,1714240443,-1.0054720843684,1,225150,svm,1714240445,4.68,1.61,881048,667,25.419999999998254
Positivo,1714240445,-1.0054720843684,1,225150,svm,1714240447,4.34,1.6,881057,676,27.419999999998254
Positivo,1714240447,-1.0054720843684,1,225150,svm,1714240449,4.04,1.6,881059,678,29.419999999998254
Positivo,1714240449,-1.0054720843684,1,225150,svm,1714240451,3.79,1.6,881059,678,31.419999999998254
Positivo,1714240451,-1.0054720843684,1,225150,svm,1714240453,3.56,1.6,881059,678,33.419999999998254
Positivo,1714240453,-1.0054720843684,1,225150,svm,1714240455,3.39,1.59,881071,690,35.419999999998254
Positivo,1714240455,-1.0054720843684,1,225150,svm,1714240457,3.21,1.59,881081,700,37.419999999998254
Positivo,1714240457,-1.0054720843684,1,225150,svm,1714240459,3.04,1.59,881081,700,39.419999999998254
Positivo,1714240459,-1.0054720843684,1,225150,svm,1714240461,2.9,1.59,881081,700,41.419999999998254
Positivo,1714240461,-1.0054720843684,1,225150,svm,1714240463,2.76,1.58,881094,713,43.419999999998254
Positivo,1714240463,-1.0054720843684,1,225150,svm,1714240466,2.64,1.58,881096,715,45.419999999998254
Positivo,1714240466,-1.0054720843684,1,225150,svm,1714240468,2.53,1.58,881098,717,47.419999999998254
Positivo,1714240468,-1.0054720843684,1,225150,svm,1714240470,2.43,1.58,881109,728,49.419999999998254
Positivo,1714240470,-1.0054720843684,1,225150,svm,1714240472,2.33,1.58,881111,730,51.419999999998254
Positivo,1714240474,-1.0054720843684,1,225145,svm,1714240474,309.91,4.73,884390,6201,53.45999999999913
Positivo,1714240476,-1.0054720843684,1,225145,svm,1714240476,312.17,3.18,884714,6525,55.45999999999913
Positivo,1714240478,-1.0054720843684,1,225145,svm,1714240478,313.7,4.61,884902,6713,57.45999999999913
Positivo,1714240480,-1.0054720843684,1,225145,svm,1714240480,315.19,4.59,885140,6951,59.45999999999913
Positivo,1714240482,-1.0054720843684,1,225145,svm,1714240482,317.46,3.55,885477,7288,61.45999999999913
Positivo,1714240484,-1.0054720843684,1,225145,svm,1714240484,319.04,4.97,885631,7442,63.45999999999913
